Date,Daily Visitors
2021-10-01,2649
2021-10-02,2000
2021-10-03,2011
2021-10-04,3219
2021-10-05,3870
2021-10-06,3222
2021-10-07,2906
2021-10-08,2821
2021-10-09,2500
2021-10-10,2108
2021-10-11,3248
2021-10-12,2740
2021-10-13,2851
2021-10-14,2187
2021-10-15,1578
2021-10-16,2058
2021-10-17,2087
2021-10-18,3357
2021-10-19,3078
2021-10-20,3038
2021-10-21,3133
2021-10-22,3016
2021-10-23,2125
2021-10-24,1991
2021-10-25,3183
2021-10-26,3207
2021-10-27,2862
2021-10-28,2704
2021-10-29,2743
2021-10-30,2056
2021-10-31,1730
2021-11-01,2369
2021-11-02,2219
2021-11-03,1890
2021-11-04,1245
2021-11-05,1860
2021-11-06,1814
2021-11-07,1623
2021-11-08,2628
2021-11-09,2557
2021-11-10,3195
2021-11-11,3097
2021-11-12,2648
2021-11-13,2319
2021-11-14,1725
2021-11-15,3206
2021-11-16,3105
2021-11-17,2734
2021-11-18,2974
2021-11-19,3082
2021-11-20,2676
2021-11-21,2336
2021-11-22,3607
2021-11-23,3314
2021-11-24,3388
2021-11-25,3076
2021-11-26,2901
2021-11-27,2478
2021-11-28,2239
2021-11-29,3106
2021-11-30,3403
2021-12-01,3371
2021-12-02,3289
2021-12-03,2847
2021-12-04,2264
2021-12-05,2109
2021-12-06,3277
2021-12-07,3350
2021-12-08,3250
2021-12-09,2461
2021-12-10,2613
2021-12-11,2293
2021-12-12,1931
2021-12-13,2682
2021-12-14,2873
2021-12-15,2594
2021-12-16,2615
2021-12-17,2276
2021-12-18,1970
2021-12-19,1787
2021-12-20,2549
2021-12-21,2657
2021-12-22,2330
2021-12-23,2525
2021-12-24,2103
2021-12-25,1580
2021-12-26,1892
2021-12-27,2750
2021-12-28,2772
2021-12-29,2686
2021-12-30,2581
2021-12-31,1932
2022-01-01,1676
2022-01-02,2352
2022-01-03,3521
2022-01-04,3360
2022-01-05,3230
2022-01-06,2954
2022-01-07,2662
2022-01-08,2292
2022-01-09,2137
2022-01-10,3319
2022-01-11,3307
2022-01-12,3001
2022-01-13,2794
2022-01-14,2301
2022-01-15,2495
2022-01-16,2343
2022-01-17,3398
2022-01-18,3184
2022-01-19,3565
2022-01-20,4509
2022-01-21,3216
2022-01-22,2730
2022-01-23,2610
2022-01-24,3452
2022-01-25,3202
2022-01-26,2534
2022-01-27,2952
2022-01-28,2751
2022-01-29,2351
2022-01-30,2459
2022-01-31,3003
2022-02-01,2996
2022-02-02,2903
2022-02-03,3225
2022-02-04,2639
2022-02-05,2321
2022-02-06,1979
2022-02-07,2904
2022-02-08,2999
2022-02-09,2790
2022-02-10,2642
2022-02-11,2484
2022-02-12,2152
2022-02-13,2017
2022-02-14,2789
2022-02-15,2820
2022-02-16,2968
2022-02-17,2876
2022-02-18,2594
2022-02-19,2370
2022-02-20,2167
2022-02-21,3616
2022-02-22,6407
2022-02-23,4751
2022-02-24,4961
2022-02-25,3860
2022-02-26,4210
2022-02-27,3699
2022-02-28,7165
2022-03-01,4687
2022-03-02,4231
2022-03-03,3543
2022-03-04,3182
2022-03-05,2450
2022-03-06,2368
2022-03-07,3166
2022-03-08,3236
2022-03-09,3072
2022-03-10,2953
2022-03-11,2640
2022-03-12,2212
2022-03-13,2120
2022-03-14,3530
2022-03-15,3524
2022-03-16,3320
2022-03-17,3399
2022-03-18,2494
2022-03-19,2976
2022-03-20,2534
2022-03-21,3641
2022-03-22,4031
